"file","bytes","mib"
"巴西2号1-2.stl","34776684","33.17"
"巴西2号2-2.stl","22050684","21.03"
"巴西2号3-2.stl","20945084","19.97"
"巴西2号4-2.stl","10110184","9.64"
"开新绿1-2.stl","58004284","55.32"
"开新绿3-2.stl","34529584","32.93"
"开新绿4-2.stl","46638784","44.48"
"平安豆259（1）-2.stl","15962684","15.22"
"平安豆259（2）-2.stl","34840884","33.23"
"平安豆259（3）-2.stl","19206784","18.32"
"平安豆259（4）-2.stl","58306284","55.61"
"平安豆259（5）-2.stl","35501584","33.86"
"浙鲜豆5号1-2.stl","27372984","26.1"
"浙鲜豆5号2-2.stl","28704584","27.37"
"浙鲜豆5号3-2.stl","52386284","49.96"
"浙鲜豆5号4-2.stl","32400184","30.9"
"浙鲜豆5号5-2.stl","51195984","48.82"
