numeric_label,root_id,parent_id,root_order,color_rgb
-2,uncertain,,,"250,122,13"
-1,unassigned,,,"140,140,140"
0,primary,,0,"13,59,224"
1,root-o1-001,primary,1,"255,0,255"
2,root-o1-003,primary,1,"255,0,255"
3,root-o1-006,primary,1,"255,0,255"
4,root-o1-002,primary,1,"255,0,255"
5,root-o1-005,primary,1,"255,0,255"
6,root-o1-013,primary,1,"255,0,255"
7,root-o1-008,primary,1,"255,0,255"
8,root-o1-018,primary,1,"255,0,255"
9,root-o1-014,primary,1,"255,0,255"
10,root-o1-010,primary,1,"255,0,255"
11,root-o1-015,primary,1,"255,0,255"
13,root-o1-035,primary,1,"255,0,255"
14,root-o1-011,primary,1,"255,0,255"
15,root-o1-043,primary,1,"255,0,255"
16,root-o1-045,primary,1,"255,0,255"
17,root-o1-047,primary,1,"255,0,255"
18,root-o1-036,primary,1,"255,0,255"
19,root-o1-039,primary,1,"255,0,255"
20,root-o1-033,primary,1,"255,0,255"
21,root-o1-048,primary,1,"255,0,255"
22,root-o1-016,primary,1,"255,0,255"
23,root-o1-037,primary,1,"255,0,255"
24,root-o1-027,primary,1,"255,0,255"
25,root-o1-049,primary,1,"255,0,255"
26,root-o1-044,primary,1,"255,0,255"
27,root-o1-025,primary,1,"255,0,255"
28,root-o1-050,primary,1,"255,0,255"
29,root-o1-004,primary,1,"255,0,255"
30,root-o1-034,primary,1,"255,0,255"
31,root-o1-055,primary,1,"255,0,255"
32,root-o1-042,primary,1,"255,0,255"
33,root-o1-032,primary,1,"255,0,255"
34,root-o1-046,primary,1,"255,0,255"
35,root-o1-053,primary,1,"255,0,255"
36,root-o1-038,primary,1,"255,0,255"
37,root-o1-054,primary,1,"255,0,255"
38,root-o1-051,primary,1,"255,0,255"
39,root-o1-019,primary,1,"255,0,255"
40,root-o1-031,primary,1,"255,0,255"
41,root-o1-040,primary,1,"255,0,255"
42,root-o2-004,root-o1-001,2,"0,158,115"
43,root-o2-008,root-o1-001,2,"0,158,115"
44,root-o2-007,root-o1-001,2,"0,158,115"
45,root-o2-005,root-o1-001,2,"0,158,115"
47,root-o2-001,root-o1-001,2,"0,158,115"
48,root-o2-006,root-o1-001,2,"0,158,115"
49,root-o2-013,root-o1-003,2,"0,158,115"
50,root-o2-012,root-o1-003,2,"0,158,115"
51,root-o2-016,root-o1-006,2,"0,158,115"
52,root-o2-014,root-o1-006,2,"0,158,115"
53,root-o2-010,root-o1-002,2,"0,158,115"
54,root-o2-011,root-o1-002,2,"0,158,115"
55,root-o2-009,root-o1-002,2,"0,158,115"
56,root-o2-018,primary,1,"255,0,255"
57,root-o1-009,primary,1,"255,0,255"
58,root-o1-012,primary,1,"255,0,255"
59,root-o1-023,primary,1,"255,0,255"
60,root-o1-028,primary,1,"255,0,255"
61,root-o1-024,primary,1,"255,0,255"
62,root-o1-007,primary,1,"255,0,255"
63,root-o1-052,primary,1,"255,0,255"
64,root-o1-017,primary,1,"255,0,255"
65,root-o2-019,root-o1-019,2,"0,158,115"
66,root-o1-030,primary,1,"255,0,255"
67,root-o1-041,primary,1,"255,0,255"
68,root-o2-015,root-o1-006,2,"0,158,115"
70,root-o1-022,primary,1,"255,0,255"
71,root-o2-002,root-o1-001,2,"0,158,115"
74,root-o1-029,primary,1,"255,0,255"
75,root-o1-026,primary,1,"255,0,255"
78,root-manual-9a21b0c55855,primary,1,"255,0,255"
79,root-manual-bfe2584fe0b5,root-o2-018,2,"0,158,115"
80,root-manual-001f6a7dd29a,root-o1-001,2,"0,158,115"
